+-------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+--------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| COUNT |  MIN  |  MAX  |   SUM   |  AVG  |  P1   |  P50  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  | METHOD |                                                                                           URI                                                                                           |
+-------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+--------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   904 | 0.001 | 1.460 | 297.634 | 0.329 | 0.002 | 0.261 | 0.950 |  0.232 | 106015.000 | 106015.000 | 95837560.000 | 106015.000 | GET    | /css/bootstrap.min.css                                                                                                                                                                  |
|   180 | 0.296 | 2.546 | 259.448 | 1.441 | 0.296 | 1.399 | 2.431 |  0.362 |   7894.000 |  73677.000 |  5950926.000 |  33060.700 | GET    | /                                                                                                                                                                                       |
|   452 | 0.001 | 1.471 | 150.364 | 0.333 | 0.002 | 0.264 | 0.944 |  0.233 |  28631.000 |  28631.000 | 12941212.000 |  28631.000 | GET    | /js/bootstrap.min.js                                                                                                                                                                    |
|   452 | 0.001 | 1.462 | 149.687 | 0.331 | 0.002 | 0.263 | 0.945 |  0.233 |  86351.000 |  86351.000 | 39030652.000 |  86351.000 | GET    | /js/jquery.min.js                                                                                                                                                                       |
|   452 | 0.001 | 1.460 | 149.255 | 0.330 | 0.002 | 0.262 | 0.945 |  0.233 |  16849.000 |  16849.000 |  7615748.000 |  16849.000 | GET    | /css/bootstrap-responsive.min.css                                                                                                                                                       |
|   452 | 0.001 | 1.458 | 147.262 | 0.326 | 0.002 | 0.260 | 0.945 |  0.231 |   1092.000 |   1092.000 |   493584.000 |   1092.000 | GET    | /favicon.ico                                                                                                                                                                            |
|   452 | 0.001 | 1.459 | 147.066 | 0.325 | 0.001 | 0.258 | 0.876 |  0.230 |     93.000 |     93.000 |    42036.000 |     93.000 | GET    | /img/star.gif                                                                                                                                                                           |
|   172 | 0.002 | 1.055 |  56.906 | 0.331 | 0.002 | 0.259 | 0.884 |  0.237 |      5.000 |    335.000 |     9440.000 |     54.884 | POST   | /login                                                                                                                                                                                  |
|   118 | 0.066 | 1.493 |  54.007 | 0.458 | 0.066 | 0.344 | 1.384 |  0.313 |      5.000 |    331.000 |    22758.000 |    192.864 | POST   | /keyword                                                                                                                                                                                |
|    56 | 0.001 | 0.794 |   7.874 | 0.141 | 0.001 | 0.002 | 0.767 |  0.238 |    335.000 |    335.000 |    18760.000 |    335.000 | POST   | /top4aew4fe9yeehu/job/new                                                                                                                                                               |
|    13 | 0.001 | 0.706 |   4.313 | 0.332 | 0.001 | 0.297 | 0.632 |  0.209 |      5.000 |      5.000 |       65.000 |      5.000 | GET    | /logout                                                                                                                                                                                 |
|     1 | 2.270 | 2.270 |   2.270 | 2.270 | 2.270 | 2.270 | 2.270 |  0.000 |  48516.000 |  48516.000 |    48516.000 |  48516.000 | GET    | /?page=52                                                                                                                                                                               |
|     1 | 2.162 | 2.162 |   2.162 | 2.162 | 2.162 | 2.162 | 2.162 |  0.000 |  41447.000 |  41447.000 |    41447.000 |  41447.000 | GET    | /?page=20                                                                                                                                                                               |
|     1 | 2.147 | 2.147 |   2.147 | 2.147 | 2.147 | 2.147 | 2.147 |  0.000 |  39297.000 |  39297.000 |    39297.000 |  39297.000 | GET    | /?page=74                                                                                                                                                                               |
|     1 | 2.040 | 2.040 |   2.040 | 2.040 | 2.040 | 2.040 | 2.040 |  0.000 |  72266.000 |  72266.000 |    72266.000 |  72266.000 | GET    | /?page=36                                                                                                                                                                               |
|     1 | 2.037 | 2.037 |   2.037 | 2.037 | 2.037 | 2.037 | 2.037 |  0.000 |  45890.000 |  45890.000 |    45890.000 |  45890.000 | GET    | /?page=66                                                                                                                                                                               |
|     1 | 2.035 | 2.035 |   2.035 | 2.035 | 2.035 | 2.035 | 2.035 |  0.000 |  57245.000 |  57245.000 |    57245.000 |  57245.000 | GET    | /?page=26                                                                                                                                                                               |
|     1 | 1.980 | 1.980 |   1.980 | 1.980 | 1.980 | 1.980 | 1.980 |  0.000 |  49808.000 |  49808.000 |    49808.000 |  49808.000 | GET    | /?page=54                                                                                                                                                                               |
|     2 | 0.630 | 1.152 |   1.782 | 0.891 | 0.630 | 0.630 | 0.630 |  0.261 |   7876.000 |   7876.000 |    15752.000 |   7876.000 | GET    | /keyword/%E6%B5%A6%E5%B9%8C%E9%A7%85                                                                                                                                                    |
|     1 | 1.774 | 1.774 |   1.774 | 1.774 | 1.774 | 1.774 | 1.774 |  0.000 |  52534.000 |  52534.000 |    52534.000 |  52534.000 | GET    | /?page=46                                                                                                                                                                               |
|     2 | 0.289 | 1.409 |   1.698 | 0.849 | 0.289 | 0.289 | 0.289 |  0.560 |   7895.000 |   7895.000 |    15790.000 |   7895.000 | GET    | /keyword/%E3%82%A4%E3%82%AE%E3%83%AA%E3%82%B9%E6%94%BF%E5%BA%9C                                                                                                                         |
|     1 | 1.698 | 1.698 |   1.698 | 1.698 | 1.698 | 1.698 | 1.698 |  0.000 |  41308.000 |  41308.000 |    41308.000 |  41308.000 | GET    | /?page=50                                                                                                                                                                               |
|     2 | 0.303 | 1.365 |   1.668 | 0.834 | 0.303 | 0.303 | 0.303 |  0.531 |   3777.000 |   3777.000 |     7554.000 |   3777.000 | GET    | /keyword/%E5%86%85%E7%94%B0%E4%BF%AE%E5%B9%B3                                                                                                                                           |
