+-------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+-------------+-----------+--------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| COUNT |  MIN  |  MAX  |   SUM   |  AVG  |  P1   |  P50  |  P99  | STDDEV | MIN(BODY) | MAX(BODY) |  SUM(BODY)  | AVG(BODY) | METHOD |                                                                                                           URI                                                                                                            |
+-------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+-------------+-----------+--------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   172 | 0.314 | 2.653 | 276.410 | 1.607 | 0.314 | 1.590 | 2.576 |  0.427 |  7894.000 | 60826.000 | 5385501.000 | 31311.052 | GET    | /                                                                                                                                                                                                                        |
|   139 | 0.003 | 1.274 |  74.402 | 0.535 | 0.003 | 0.550 | 1.130 |  0.284 |     5.000 |   335.000 |    8615.000 |    61.978 | POST   | /login                                                                                                                                                                                                                   |
|    92 | 0.047 | 1.487 |  59.151 | 0.643 | 0.047 | 0.572 | 1.390 |  0.314 |     5.000 |   331.000 |   15130.000 |   164.457 | POST   | /keyword                                                                                                                                                                                                                 |
|    26 | 0.001 | 1.169 |  10.828 | 0.416 | 0.001 | 0.454 | 0.987 |  0.382 |   335.000 |   335.000 |    8710.000 |   335.000 | POST   | /top4aew4fe9yeehu/job/new                                                                                                                                                                                                |
|    12 | 0.003 | 0.760 |   4.503 | 0.375 | 0.003 | 0.425 | 0.512 |  0.188 |     5.000 |     5.000 |      60.000 |     5.000 | GET    | /logout                                                                                                                                                                                                                  |
|     1 | 2.779 | 2.779 |   2.779 | 2.779 | 2.779 | 2.779 | 2.779 |  0.000 | 75726.000 | 75726.000 |   75726.000 | 75726.000 | GET    | /?page=71                                                                                                                                                                                                                |
|     1 | 2.396 | 2.396 |   2.396 | 2.396 | 2.396 | 2.396 | 2.396 |  0.000 | 76279.000 | 76279.000 |   76279.000 | 76279.000 | GET    | /?page=60                                                                                                                                                                                                                |
|     2 | 0.737 | 1.592 |   2.329 | 1.165 | 0.737 | 0.737 | 0.737 |  0.428 |  3779.000 |  4719.000 |    8498.000 |  4249.000 | GET    | /keyword/%E7%A0%82%E9%98%B2%E6%B3%95                                                                                                                                                                                     |
|     2 | 0.783 | 1.501 |   2.284 | 1.142 | 0.783 | 0.783 | 0.783 |  0.359 |  3779.000 |  4419.000 |    8198.000 |  4099.000 | GET    | /keyword/%E6%99%AE%E9%96%80%E9%99%A2                                                                                                                                                                                     |
|     1 | 2.210 | 2.210 |   2.210 | 2.210 | 2.210 | 2.210 | 2.210 |  0.000 | 51341.000 | 51341.000 |   51341.000 | 51341.000 | GET    | /?page=54                                                                                                                                                                                                                |
|     1 | 2.157 | 2.157 |   2.157 | 2.157 | 2.157 | 2.157 | 2.157 |  0.000 | 62987.000 | 62987.000 |   62987.000 | 62987.000 | GET    | /?page=30                                                                                                                                                                                                                |
|     2 | 0.663 | 1.424 |   2.087 | 1.043 | 0.663 | 0.663 | 0.663 |  0.380 |  3779.000 |  4589.000 |    8368.000 |  4184.000 | GET    | /keyword/%E6%9E%87%E6%9D%B7%E5%B3%B6%E6%A9%8B                                                                                                                                                                            |
|     2 | 0.441 | 1.632 |   2.073 | 1.036 | 0.441 | 0.441 | 0.441 |  0.595 |  3779.000 |  6624.000 |   10403.000 |  5201.500 | GET    | /keyword/%E8%88%B9%E6%88%B8%E5%B1%B1                                                                                                                                                                                     |
|     1 | 2.067 | 2.067 |   2.067 | 2.067 | 2.067 | 2.067 | 2.067 |  0.000 | 76396.000 | 76396.000 |   76396.000 | 76396.000 | GET    | /?page=80                                                                                                                                                                                                                |
|     1 | 2.029 | 2.029 |   2.029 | 2.029 | 2.029 | 2.029 | 2.029 |  0.000 | 36513.000 | 36513.000 |   36513.000 | 36513.000 | GET    | /?page=6                                                                                                                                                                                                                 |
|     2 | 0.562 | 1.464 |   2.026 | 1.013 | 0.562 | 0.562 | 0.562 |  0.451 |  2235.000 |  2235.000 |    4470.000 |  2235.000 | GET    | /keyword/CCE                                                                                                                                                                                                             |
|     1 | 2.018 | 2.018 |   2.018 | 2.018 | 2.018 | 2.018 | 2.018 |  0.000 | 43259.000 | 43259.000 |   43259.000 | 43259.000 | GET    | /?page=50                                                                                                                                                                                                                |
|     1 | 2.018 | 2.018 |   2.018 | 2.018 | 2.018 | 2.018 | 2.018 |  0.000 | 75641.000 | 75641.000 |   75641.000 | 75641.000 | GET    | /?page=84                                                                                                                                                                                                                |
|     1 | 1.991 | 1.991 |   1.991 | 1.991 | 1.991 | 1.991 | 1.991 |  0.000 | 76457.000 | 76457.000 |   76457.000 | 76457.000 | GET    | /?page=61                                                                                                                                                                                                                |
|     2 | 0.790 | 1.107 |   1.897 | 0.949 | 0.790 | 0.790 | 0.790 |  0.158 |  4396.000 |  4558.000 |    8954.000 |  4477.000 | GET    | /keyword/%E3%82%AD%E3%83%B3%E3%82%B0%E3%82%B9%E3%82%BF%E3%82%A6%E3%83%B3                                                                                                                                                 |
|     2 | 0.822 | 1.065 |   1.887 | 0.944 | 0.822 | 0.822 | 0.822 |  0.121 |  3082.000 |  3082.000 |    6164.000 |  3082.000 | GET    | /keyword/742%E5%B9%B4                                                                                                                                                                                                    |
|     1 | 1.848 | 1.848 |   1.848 | 1.848 | 1.848 | 1.848 | 1.848 |  0.000 | 36384.000 | 36384.000 |   36384.000 | 36384.000 | GET    | /?page=36                                                                                                                                                                                                                |
|     2 | 0.839 | 1.009 |   1.848 | 0.924 | 0.839 | 0.839 | 0.839 |  0.085 |  5312.000 |  5323.000 |   10635.000 |  5317.500 | GET    | /keyword/%E3%83%AD%E3%83%9E%E3%83%8E%E3%82%B93%E4%B8%96%E3%82%A2%E3%83%AB%E3%82%AE%E3%83%A5%E3%83%AD%E3%82%B9                                                                                                            |
|     2 | 0.828 | 1.013 |   1.841 | 0.920 | 0.828 | 0.828 | 0.828 |  0.092 |  2356.000 |  2356.000 |    4712.000 |  2356.000 | GET    | /keyword/%E8%97%AA%E7%94%B0%E6%9D%91                                                                                                                                                                                     |
|     1 | 1.823 | 1.823 |   1.823 | 1.823 | 1.823 | 1.823 | 1.823 |  0.000 | 38536.000 | 38536.000 |   38536.000 | 38536.000 | GET    | /?page=64                                                                                                                                                                                                                |
|     2 | 0.805 | 1.001 |   1.806 | 0.903 | 0.805 | 0.805 | 0.805 |  0.098 | 23004.000 | 23027.000 |   46031.000 | 23015.500 | GET    | /keyword/%E5%8A%A0%E8%97%A4%E5%98%89%E6%98%8E                                                                                                                                                                            |
|     1 | 1.775 | 1.775 |   1.775 | 1.775 | 1.775 | 1.775 | 1.775 |  0.000 | 45072.000 | 45072.000 |   45072.000 | 45072.000 | GET    | /?page=44                                                                                                                                                                                                                |
|     2 | 0.676 | 1.084 |   1.760 | 0.880 | 0.676 | 0.676 | 0.676 |  0.204 |  3111.000 |  3111.000 |    6222.000 |  3111.000 | GET    | /keyword/%E8%A1%8C%E6%94%BF%E6%95%99%E5%8C%BA                                                                                                                                                                            |
|     1 | 1.753 | 1.753 |   1.753 | 1.753 | 1.753 | 1.753 | 1.753 |  0.000 | 69474.000 | 69474.000 |   69474.000 | 69474.000 | GET    | /?page=14                                                                                                                                                                                                                |
|     2 | 0.382 | 1.362 |   1.744 | 0.872 | 0.382 | 0.382 | 0.382 |  0.490 |  7876.000 |  8284.000 |   16160.000 |  8080.000 | GET    | /keyword/%E3%83%A6%E3%83%BC%E3%83%A9%E3%83%BB%E3%82%BE%E3%82%A4%E3%83%95%E3%82%A1%E3%83%BC                                                                                                                               |
|     2 | 0.582 | 1.158 |   1.740 | 0.870 | 0.582 | 0.582 | 0.582 |  0.288 |  7876.000 |  7876.000 |   15752.000 |  7876.000 | GET    | /keyword/%E4%BD%9C%E6%9B%B2%E8%B3%9E                                                                                                                                                                                     |
|     3 | 0.086 | 1.284 |   1.739 | 0.580 | 0.086 | 0.086 | 0.369 |  0.511 |  7876.000 |  9334.000 |   26408.000 |  8802.667 | GET    | /keyword/%E4%BA%A4%E9%80%9A%E4%BA%8B%E6%95%85%E9%91%91%E5%AE%9A%E4%BA%BA                                                                                                                                                 |
|     2 | 0.746 | 0.990 |   1.736 | 0.868 | 0.746 | 0.746 | 0.746 |  0.122 |  3035.000 |  3035.000 |    6070.000 |  3035.000 | GET    | /keyword/%E3%83%AC%E3%83%95%E3%83%A9%E3%83%BC                                                                                                                                                                            |
|     2 | 0.761 | 0.971 |   1.732 | 0.866 | 0.761 | 0.761 | 0.761 |  0.105 |  3029.000 |  3029.000 |    6058.000 |  3029.000 | GET    | /keyword/%E7%89%A9%E8%B3%AA%E6%96%87%E6%98%8E                                                                                                                                                                            |
|     1 | 1.695 | 1.695 |   1.695 | 1.695 | 1.695 | 1.695 | 1.695 |  0.000 | 46573.000 | 46573.000 |   46573.000 | 46573.000 | GET    | /?page=24                                                                                                                                                                                                                |
|     2 | 0.740 | 0.954 |   1.694 | 0.847 | 0.740 | 0.740 | 0.740 |  0.107 |  3504.000 |  3504.000 |    7008.000 |  3504.000 | GET    | /keyword/%E5%8D%97%E8%9F%B9%E8%B0%B7%E6%9D%91                                                                                                                                                                            |
|     2 | 0.385 | 1.305 |   1.690 | 0.845 | 0.385 | 0.385 | 0.385 |  0.460 |  3635.000 |  3635.000 |    7270.000 |  3635.000 | GET    | /keyword/%E9%9E%8D%E6%8E%9B%E5%B1%B1                                                                                                                                                                                     |
|     2 | 0.828 | 0.857 |   1.685 | 0.843 | 0.828 | 0.828 | 0.828 |  0.015 |  3777.000 |  3777.000 |    7554.000 |  3777.000 | GET    | /keyword/%E7%A9%BA%E5%8D%B0%E5%AF%BA                                                                                                                                                                                     |
|     1 | 1.680 | 1.680 |   1.680 | 1.680 | 1.680 | 1.680 | 1.680 |  0.000 | 83584.000 | 83584.000 |   83584.000 | 83584.000 | GET    | /?page=74                                                                                                                                                                                                                |
|     1 | 1.673 | 1.673 |   1.673 | 1.673 | 1.673 | 1.673 | 1.673 |  0.000 |  9092.000 |  9092.000 |    9092.000 |  9092.000 | GET    | /keyword/%E3%83%91%E3%83%88%E3%83%AA%E3%82%A2%E6%A1%B6%E5%B7%9D%E5%BA%97                                                                                                                                                 |
|     2 | 0.821 | 0.830 |   1.651 | 0.825 | 0.821 | 0.821 | 0.821 |  0.005 |  3779.000 |  4813.000 |    8592.000 |  4296.000 | GET    | /keyword/%E5%A0%BA%E3%81%AA%E3%81%8A%E3%81%93                                                                                                                                                                            |
|     1 | 1.650 | 1.650 |   1.650 | 1.650 | 1.650 | 1.650 | 1.650 |  0.000 | 62987.000 | 62987.000 |   62987.000 | 62987.000 | GET    | /?page=31                                                                                                                                                                                                                |
|     1 | 1.647 | 1.647 |   1.647 | 1.647 | 1.647 | 1.647 | 1.647 |  0.000 | 74652.000 | 74652.000 |   74652.000 | 74652.000 | GET    | /?page=21                                                                                                                                                                                                                |
|     1 | 1.633 | 1.633 |   1.633 | 1.633 | 1.633 | 1.633 | 1.633 |  0.000 | 39785.000 | 39785.000 |   39785.000 | 39785.000 | GET    | /?page=26                                                                                                                                                                                                                |
|     2 | 0.706 | 0.897 |   1.603 | 0.801 | 0.706 | 0.706 | 0.706 |  0.096 |  2851.000 |  2851.000 |    5702.000 |  2851.000 | GET    | /keyword/%E3%83%88%E3%82%A4%E3%82%BA                                                                                                                                                                                     |
|     1 | 1.598 | 1.598 |   1.598 | 1.598 | 1.598 | 1.598 | 1.598 |  0.000 |    25.000 |    25.000 |      25.000 |    25.000 | POST   | /stars?user=sixeight&keyword=%E7%A0%82%E9%98%B2%E6%B3%95                                                                                                                                                                 |
|     1 | 1.598 | 1.598 |   1.598 | 1.598 | 1.598 | 1.598 | 1.598 |  0.000 | 75071.000 | 75071.000 |   75071.000 | 75071.000 | GET    | /?page=11                                                                                                                                                                                                                |
|     2 | 0.544 | 1.047 |   1.591 | 0.795 | 0.544 | 0.544 | 0.544 |  0.251 |  7876.000 |  9236.000 |   17112.000 |  8556.000 | GET    | /keyword/%E8%8F%85%E5%B1%B1%E3%81%8B%E3%81%8A%E3%82%8B                                                                                                                                                                   |
|     1 | 1.581 | 1.581 |   1.581 | 1.581 | 1.581 | 1.581 | 1.581 |  0.000 | 21329.000 | 21329.000 |   21329.000 | 21329.000 | GET    | /keyword/%E4%B8%8A%E5%B1%B1%E7%94%B0%E7%B7%9A                                                                                                                                                                            |
|     2 | 0.660 | 0.886 |   1.546 | 0.773 | 0.660 | 0.660 | 0.660 |  0.113 |  3223.000 |  3223.000 |    6446.000 |  3223.000 | GET    | /keyword/%E5%8D%97%E5%B1%B1%E5%B4%8E%E6%9D%91                                                                                                                                                                            |
|     1 | 1.541 | 1.541 |   1.541 | 1.541 | 1.541 | 1.541 | 1.541 |  0.000 | 75068.000 | 75068.000 |   75068.000 | 75068.000 | GET    | /?page=10                                                                                                                                                                                                                |
|     1 | 1.537 | 1.537 |   1.537 | 1.537 | 1.537 | 1.537 | 1.537 |  0.000 | 57064.000 | 57064.000 |   57064.000 | 57064.000 | GET    | /?page=41                                                                                                                                                                                                                |
|     2 | 0.487 | 1.049 |   1.536 | 0.768 | 0.487 | 0.487 | 0.487 |  0.281 |  2841.000 |  2841.000 |    5682.000 |  2841.000 | GET    | /keyword/%E5%85%B5%E5%BA%AB%E7%9C%8C%E9%81%93255%E5%8F%B7%E4%B8%8A%E6%9D%91%E9%A4%8A%E7%88%B6%E7%B7%9A                                                                                                                   |
|     2 | 0.726 | 0.810 |   1.536 | 0.768 | 0.726 | 0.726 | 0.726 |  0.042 |  2572.000 |  2572.000 |    5144.000 |  2572.000 | GET    | /keyword/%E8%BC%AA%E7%8A%B6%E7%94%B2%E7%8A%B6%E7%AD%8B                                                                                                                                                                   |
|     2 | 0.447 | 1.072 |   1.519 | 0.760 | 0.447 | 0.447 | 0.447 |  0.313 |  5385.000 |  5385.000 |   10770.000 |  5385.000 | GET    | /keyword/%E5%8C%97%E6%B5%B7%E9%81%93%E3%81%AE%E5%86%8D%E9%96%8B%E7%99%BA%E3%81%AE%E4%B8%80%E8%A6%A7                                                                                                                      |
|     2 | 0.549 | 0.965 |   1.514 | 0.757 | 0.549 | 0.549 | 0.549 |  0.208 |  2984.000 |  2984.000 |    5968.000 |  2984.000 | GET    | /keyword/%E4%BA%95%E4%B8%8A%E6%95%8F%E5%A4%AB                                                                                                                                                                            |
|     2 | 0.700 | 0.813 |   1.513 | 0.756 | 0.700 | 0.700 | 0.700 |  0.056 |  7876.000 |  7876.000 |   15752.000 |  7876.000 | GET    | /keyword/%E5%B7%A8%E5%A4%A7%E5%9F%BA%E6%95%B0                                                                                                                                                                            |
|     2 | 0.412 | 1.090 |   1.502 | 0.751 | 0.412 | 0.412 | 0.412 |  0.339 |  2525.000 |  2525.000 |    5050.000 |  2525.000 | GET    | /keyword/%E3%82%A6%E3%83%BC%E3%82%BA                                                                                                                                                                                     |
|     1 | 1.499 | 1.499 |   1.499 | 1.499 | 1.499 | 1.499 | 1.499 |  0.000 | 39560.000 | 39560.000 |   39560.000 | 39560.000 | GET    | /?page=34                                                                                                                                                                                                                |
|     2 | 0.605 | 0.892 |   1.497 | 0.748 | 0.605 | 0.605 | 0.605 |  0.144 |  7874.000 |  7894.000 |   15768.000 |  7884.000 | GET    | /keyword/%E3%82%A4%E3%82%AE%E3%83%AA%E3%82%B9%E6%94%BF%E5%BA%9C                                                                                                                                                          |
|     1 | 1.490 | 1.490 |   1.490 | 1.490 | 1.490 | 1.490 | 1.490 |  0.000 |  3466.000 |  3466.000 |    3466.000 |  3466.000 | GET    | /keyword/%E6%97%A5%E6%9C%AC%E6%B5%B7%E6%B5%B7%E6%88%A6%E8%A8%98%E5%BF%B5%E5%BC%8F%E5%85%B8                                                                                                                               |
|     2 | 0.505 | 0.973 |   1.478 | 0.739 | 0.505 | 0.505 | 0.505 |  0.234 |  4395.000 |  4400.000 |    8795.000 |  4397.500 | GET    | /keyword/G15                                                                                                                                                                                                             |
|     1 | 1.477 | 1.477 |   1.477 | 1.477 | 1.477 | 1.477 | 1.477 |  0.000 | 57079.000 | 57079.000 |   57079.000 | 57079.000 | GET    | /?page=40                                                                                                                                                                                                                |
|     1 | 1.476 | 1.476 |   1.476 | 1.476 | 1.476 | 1.476 | 1.476 |  0.000 | 48159.000 | 48159.000 |   48159.000 | 48159.000 | GET    | /keyword/%E4%B8%89%E8%8F%B1%E3%83%BB%E3%83%A9%E3%83%B3%E3%82%B5%E3%83%BC                                                                                                                                                 |
